"event","experiment time","system time","system time text"
"START",0.000000000E0,1678410491.133,"2023-03-09 20:08:11.133 UTC-05:00"
"PAUSE",1.071215823E2,1678410598.255,"2023-03-09 20:09:58.255 UTC-05:00"
