"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.014692210E-1,6.721438885E0,2.596212626E0,6.819544315E0,9.920899422E0
2.038842210E-1,6.664011002E0,2.533999205E0,6.731009960E0,9.804931906E0
2.062992210E-1,6.582654953E0,2.474178553E0,6.652047157E0,9.680012248E0
2.087141690E-1,6.510870457E0,2.404786825E0,6.599404812E0,9.577399316E0
2.111291690E-1,6.448657036E0,2.333002090E0,6.551548481E0,9.484242923E0
2.135441170E-1,6.386443615E0,2.263610125E0,6.482156754E0,9.377043725E0
2.159591170E-1,6.338587284E0,2.196611166E0,6.372086525E0,9.252365971E0
2.183741170E-1,6.321837425E0,2.134397745E0,6.240481377E0,9.135912104E0
2.207890650E-1,6.300302029E0,2.079362869E0,6.092126369E0,9.007305884E0
2.232040650E-1,6.242874146E0,2.041077614E0,5.927021503E0,8.846980238E0
2.256190650E-1,6.154339790E0,2.017149448E0,5.771488190E0,8.674956258E0
2.280340130E-1,6.017949104E0,2.021935225E0,5.639883041E0,8.491891085E0
2.304490130E-1,5.819344521E0,2.038684845E0,5.525027275E0,8.279307516E0
2.328640130E-1,5.539384365E0,2.038684845E0,5.429314613E0,8.019879813E0
2.352789610E-1,5.178068161E0,2.014756680E0,5.321637630E0,7.693598731E0
2.376939610E-1,4.752145767E0,1.981257200E0,5.178068161E0,7.302099655E0
2.401089090E-1,4.254438877E0,1.969292998E0,4.989035130E0,6.846081843E0
2.425239090E-1,3.680161238E0,2.000399828E0,4.742574692E0,6.327495627E0
2.449389090E-1,3.050848961E0,2.079362869E0,4.450650215E0,5.782708419E0
2.473538570E-1,2.478964329E0,2.191825628E0,4.192225456E0,5.340797506E0
2.497688570E-1,2.062613010E0,2.316252232E0,4.027120590E0,5.083020468E0
2.521838050E-1,1.859223247E0,2.426322222E0,3.967299938E0,5.008315026E0
2.545988050E-1,1.864008784E0,2.500499725E0,3.998406649E0,5.070925295E0
2.570138050E-1,2.038684845E0,2.533999205E0,4.084548473E0,5.221199488E0
2.594287520E-1,2.325823545E0,2.522035122E0,4.189832687E0,5.415239078E0
2.618437520E-1,2.675175667E0,2.486142635E0,4.290330887E0,5.634217707E0
2.642587520E-1,3.043670416E0,2.438286304E0,4.371686935E0,5.858397081E0
2.666737000E-1,3.400201082E0,2.388036966E0,4.436293125E0,6.078222161E0
2.690887000E-1,3.725624800E0,2.342573404E0,4.493721008E0,6.289790044E0
2.715036480E-1,4.005585194E0,2.313859463E0,4.555934429E0,6.492703357E0
2.739186480E-1,4.237689018E0,2.299502611E0,4.630111694E0,6.684583366E0
2.763336480E-1,4.431507587E0,2.304288149E0,4.728217602E0,6.877793619E0
2.787485960E-1,4.601397991E0,2.330609322E0,4.845465660E0,7.076944309E0
2.811635960E-1,4.749752998E0,2.371287346E0,4.981856823E0,7.280251000E0
2.835785960E-1,4.874179840E0,2.411965132E0,5.130211830E0,7.476247610E0
2.859935440E-1,4.967499733E0,2.457428932E0,5.285745144E0,7.658597279E0
2.884085440E-1,5.039284706E0,2.500499725E0,5.446064472E0,7.829847218E0
2.908235440E-1,5.087141037E0,2.531606436E0,5.606383324E0,7.982453824E0
2.932384920E-1,5.111069202E0,2.548356056E0,5.761917114E0,8.112757596E0
2.956534920E-1,5.115854740E0,2.553141832E0,5.905486107E0,8.219809554E0
2.980684400E-1,5.106283665E0,2.541177750E0,6.039484501E0,8.307050635E0
3.004834400E-1,5.094319344E0,2.507678032E0,6.173482418E0,8.387635176E0
3.028984400E-1,5.089533806E0,2.464607239E0,6.307480335E0,8.471242611E0
3.053133880E-1,5.091926575E0,2.414358139E0,6.443871498E0,8.560392593E0
3.077283880E-1,5.096712112E0,2.349751949E0,6.580262184E0,8.648563984E0
3.101433880E-1,5.099104881E0,2.275574446E0,6.719046116E0,8.736400309E0
3.125583360E-1,5.094319344E0,2.199003935E0,6.855436802E0,8.819564707E0
3.149733360E-1,5.084748268E0,2.122433662E0,6.996613503E0,8.905727938E0
3.173883360E-1,5.070391178E0,2.050648928E0,7.130611420E0,8.986637132E0
3.198032840E-1,5.046463013E0,1.983649969E0,7.250252724E0,9.053608159E0
3.222182840E-1,5.017749310E0,1.921436548E0,7.355536938E0,9.108987330E0
3.246332320E-1,4.984249592E0,1.864008784E0,7.444071293E0,9.150490159E0
3.270482320E-1,4.948357105E0,1.811366796E0,7.518248558E0,9.181032028E0
3.294632320E-1,4.914857864E0,1.756331801E0,7.582854748E0,9.205444875E0
3.318781800E-1,4.886143684E0,1.698904037E0,7.645068169E0,9.230803992E0
3.342931800E-1,4.864608288E0,1.631905079E0,7.702496052E0,9.255051237E0
3.367081800E-1,4.859822750E0,1.557727575E0,7.759923935E0,9.287669882E0
3.391231270E-1,4.867001057E0,1.476371527E0,7.819744587E0,9.328224782E0
3.415381270E-1,4.888536453E0,1.390229940E0,7.891529083E0,9.386520080E0
3.439530750E-1,4.919643402E0,1.296909928E0,7.975277901E0,9.459911424E0
3.463680750E-1,4.965106964E0,1.198804140E0,8.070990562E0,9.551455763E0
3.487830750E-1,5.022534847E0,1.095912814E0,8.181060791E0,9.662123827E0
3.511980230E-1,5.087141037E0,9.906286001E-1,8.298309326E0,9.783776706E0
3.536130230E-1,5.158925533E0,8.805587292E-1,8.425128937E0,9.918300960E0
3.560280230E-1,5.197210789E0,7.226324677E-1,8.559126854E0,1.003951444E1
3.584429710E-1,5.230710506E0,5.359922647E-1,8.702695847E0,1.016781860E1
3.608579710E-1,5.309673309E0,3.517449200E-1,8.858229637E0,1.033366283E1
3.632729710E-1,5.441278458E0,1.794617027E-1,9.011369705E0,1.052827154E1
3.656879190E-1,5.620740414E0,1.674975827E-2,9.152546883E0,1.074067585E1
3.681029190E-1,5.833701611E0,-1.387837082E-1,9.284152031E0,1.096571084E1
3.705178670E-1,6.058627129E0,-2.967100143E-1,9.427721024E0,1.121057194E1
3.729328670E-1,6.257231236E0,-4.953143001E-1,9.616754532E0,1.148391252E1
3.753478670E-1,6.467799664E0,-6.819544435E-1,9.774680138E0,1.174060757E1
3.777628150E-1,6.687939167E0,-8.518448472E-1,9.879964828E0,1.196109840E1
3.801778150E-1,6.932007313E0,-1.012163997E0,9.970891953E0,1.218588887E1
3.825928150E-1,7.207181931E0,-1.189232826E0,1.008096218E1,1.244923872E1
3.850077630E-1,7.429714203E0,-1.385444283E0,1.015992451E1,1.266270804E1
3.874227630E-1,7.585247993E0,-1.591227055E0,1.016231823E1,1.278048131E1
3.898377630E-1,7.647460938E0,-1.801795483E0,1.007617569E1,1.277730184E1
3.922527110E-1,7.616354465E0,-2.014756680E0,9.908679008E0,1.265898967E1
3.946677110E-1,7.506284714E0,-2.227717876E0,9.678967476E0,1.244947583E1
3.970826590E-1,7.331608772E0,-2.450250387E0,9.406186104E0,1.217507910E1
3.994976590E-1,7.116254330E0,-2.675175667E0,9.097511292E0,1.185589947E1
4.019126590E-1,6.869793892E0,-2.902493954E0,8.764909744E0,1.150835271E1
4.043276070E-1,6.587440968E0,-3.132204771E0,8.422736168E0,1.114215283E1
4.067426070E-1,6.285944939E0,-3.364308596E0,8.094919205E0,1.078700111E1
4.091576070E-1,5.972485542E0,-3.594019651E0,7.793423176E0,1.045585987E1
4.115725550E-1,5.666203976E0,-3.821337700E0,7.534998417E0,1.017274252E1
4.139875550E-1,5.367101192E0,-4.039084435E0,7.324429989E0,9.938171509E0
4.164025550E-1,5.070391178E0,-4.240081787E0,7.161718369E0,9.745633394E0
4.188175020E-1,4.773681164E0,-4.424329281E0,7.046862602E0,9.592757371E0
4.212325020E-1,4.510470867E0,-4.582255363E0,6.982256413E0,9.491749906E0
4.236474500E-1,4.307080746E0,-4.694717884E0,6.982256413E0,9.452154525E0
4.260624500E-1,4.173082829E0,-4.754538536E0,7.061219692E0,9.480563302E0
4.284774500E-1,4.103690624E0,-4.756931305E0,7.211967468E0,9.564577719E0
4.308923980E-1,4.082155228E0,-4.709074974E0,7.420143127E0,9.690093005E0
4.333073980E-1,4.091726780E0,-4.622933388E0,7.659425259E0,9.837709919E0
4.357223980E-1,4.127619267E0,-4.510470867E0,7.905886173E0,9.994229557E0
4.381373460E-1,4.180261135E0,-4.395615101E0,8.154739380E0,1.016345363E1
4.405523460E-1,4.235296249E0,-4.283152580E0,8.398807526E0,1.033552602E1
4.429673460E-1,4.307080746E0,-4.199403763E0,8.645268440E0,1.053216991E1
4.453822940E-1,4.400400639E0,-4.146761417E0,8.906085968E0,1.076464227E1
4.477972940E-1,4.522434711E0,-4.113262177E0,9.188439369E0,1.103624753E1
4.502122940E-1,4.680361271E0,-4.091726780E0,9.489934921E0,1.134490522E1
4.526272420E-1,4.890929699E0,-4.072584152E0,9.803394318E0,1.168818528E1
4.550422420E-1,5.149354458E0,-4.039084435E0,1.011924744E1,1.205110879E1
4.574571900E-1,5.446064472E0,-3.991228104E0,1.041117096E1,1.240894841E1
4.598721900E-1,5.778666496E0,-3.921836376E0,1.065763187E1,1.274201335E1
4.622871900E-1,6.139982700E0,-3.823730469E0,1.085384369E1,1.304324442E1
4.647021900E-1,6.522834301E0,-3.689732552E0,1.099262714E1,1.330411008E1
4.671171380E-1,6.915257454E0,-3.529413462E0,1.109073257E1,1.353816435E1
4.695321380E-1,7.302894592E0,-3.364308596E0,1.117687416E1,1.376856411E1
4.719470860E-1,7.661818027E0,-3.196810961E0,1.127258778E1,1.399979610E1
4.743620860E-1,7.989634991E0,-3.036491871E0,1.138026428E1,1.423253194E1
4.767770860E-1,8.291130066E0,-2.883351326E0,1.147837067E1,1.445024380E1
4.791920340E-1,8.585447311E0,-2.734996319E0,1.155254745E1,1.465098847E1
4.816070340E-1,8.896514893E0,-2.579462767E0,1.160279655E1,1.484676710E1
4.840220340E-1,9.260223389E0,-2.411965132E0,1.163390350E1,1.506376526E1
4.864369820E-1,9.693324089E0,-2.232503414E0,1.164826107E1,1.531752556E1
4.888519820E-1,1.018624592E1,-2.033899307E0,1.165304661E1,1.561056846E1
4.912669820E-1,1.072463131E1,-1.813759565E0,1.164108181E1,1.593179921E1
4.936819300E-1,1.129172993E1,-1.567298889E0,1.160279655E1,1.626605295E1
4.960969300E-1,1.187318611E1,-1.287338614E0,1.152144146E1,1.659437864E1
4.985118770E-1,1.244985580E1,-9.714859724E-1,1.138744259E1,1.690019359E1
5.009268770E-1,1.300020504E1,-6.173482537E-1,1.119601727E1,1.716791346E1
5.033418770E-1,1.351466274E1,-2.273181528E-1,1.094237804E1,1.739061298E1
5.057568250E-1,1.397647667E1,1.914258152E-1,1.063609695E1,1.756431332E1
5.081718250E-1,1.438564968E1,6.340979934E-1,1.027717304E1,1.769093787E1
5.105868250E-1,1.475414467E1,1.083948612E0,9.851250648E0,1.777376912E1
5.130017730E-1,1.508674717E1,1.531406522E0,9.343972206E0,1.781193315E1
5.154167730E-1,1.538824272E1,1.974078655E0,8.750552177E0,1.781199495E1
5.178317730E-1,1.565863132E1,2.407179594E0,8.066205025E0,1.777782079E1
5.202467210E-1,1.590030670E1,2.821137905E0,7.302894592E0,1.772317245E1
5.226617210E-1,1.611805344E1,3.220739365E0,6.470192432E0,1.766431993E1
5.250767210E-1,1.630947876E1,3.601198196E0,5.587240696E0,1.761206928E1
5.274916690E-1,1.646740532E1,3.969692707E0,4.673182487E0,1.757192456E1
5.299066690E-1,1.659661865E1,4.319045067E0,3.747160196E0,1.755400554E1
5.323216690E-1,1.669472313E1,4.644468784E0,2.835494757E0,1.755918282E1
5.347366170E-1,1.676172256E1,4.943571568E0,1.969292998E0,1.758614108E1
5.371516170E-1,1.680479431E1,5.218746185E0,1.177268744E0,1.763582675E1
5.395666170E-1,1.681915092E1,5.477170944E0,4.881358147E-1,1.769523992E1
5.419815650E-1,1.680000687E1,5.716453075E0,-7.417750359E-2,1.774608601E1
5.443965650E-1,1.676411629E1,5.929414749E0,-4.737788737E-1,1.778814270E1
5.468115130E-1,1.676411629E1,6.118447304E0,-6.843472719E-1,1.785887240E1
5.492265130E-1,1.682872200E1,6.297909260E0,-6.867401004E-1,1.798168950E1
5.516415130E-1,1.682393646E1,6.441478729E0,-5.048855543E-1,1.802199755E1
5.540565130E-1,1.665404510E1,6.534798622E0,-1.962114573E-1,1.789131941E1
