"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.359524167E-1,-5.194198608E-2,1.431473236E0,1.003498215E1,1.013669967E1
6.458774167E-1,4.483177185E-1,9.003776550E-1,1.148307083E1,1.152703710E1
6.558024167E-1,-7.560777283E-1,3.327580261E-1,1.083012863E1,1.086158679E1
6.657274167E-1,-6.578819275E-1,1.204844513E0,9.010063477E0,9.114038774E0
6.756524167E-1,-9.699829102E-1,1.728305969E0,8.793763275E0,9.014331972E0
6.855774167E-1,-6.343807983E-1,1.224603424E0,1.008872040E1,1.018255232E1
6.955024167E-1,4.790039062E-3,3.281176758E-1,1.077115128E1,1.077614885E1
7.054274167E-1,-6.747967529E-1,7.515870667E-1,9.663155365E0,9.715801840E0
7.153524167E-1,-1.524579620E0,1.731000366E0,9.703271942E0,9.973674933E0
7.252774167E-1,-1.419647827E0,2.083068237E0,9.212442627E0,9.551108438E0
7.352024167E-1,-1.501377869E0,1.653162231E0,9.369316406E0,9.631779212E0
7.451274167E-1,-1.775158539E0,1.399589539E0,9.916129303E0,1.017052895E1
7.550524167E-1,-1.708547058E0,1.428180084E0,9.898915100E0,1.014629743E1
7.649774167E-1,-1.428030396E0,1.482517090E0,9.729766846E0,9.945123961E0
7.749024167E-1,-1.393152924E0,9.180409241E-1,1.061352905E1,1.074386677E1
7.848274167E-1,-1.130748596E0,2.665956116E-1,1.028990204E1,1.035527641E1
7.947524167E-1,-6.230044556E-1,3.531156921E-1,1.014754807E1,1.017278511E1
8.046774167E-1,-2.387535095E-1,1.496887207E-2,1.002465363E1,1.002750755E1
8.146014167E-1,-1.990859985E-1,1.544787598E-1,9.305099945E0,9.308511369E0
8.245264167E-1,-2.833607483E-1,1.481918335E-1,9.191037140E0,9.196598167E0
8.344514167E-1,-1.778302002E-1,-4.571493530E-1,9.253756714E0,9.266748212E0
8.443764167E-1,5.194198608E-1,-1.191971283E0,9.107061768E0,9.199411208E0
8.543014167E-1,8.623567200E-1,-1.466650085E0,9.033564606E0,9.192388758E0
8.642264167E-1,-5.072950745E-1,-1.009500732E0,8.514743500E0,8.589371158E0
8.741514167E-1,-1.185235291E0,-9.544152832E-1,8.716972961E0,8.848802678E0
8.840764167E-1,-6.289920044E-1,-1.026415558E0,8.667575684E0,8.750772998E0
8.940014167E-1,-2.095642090E-2,-1.464853821E0,7.867639160E0,8.002873349E0
9.039264167E-1,5.644761658E-1,-2.139201508E0,7.678582306E0,7.990960059E0
9.138514167E-1,1.387464752E0,-2.407294006E0,7.847880249E0,8.325223557E0
9.237764167E-1,2.050885162E0,-2.475701752E0,7.687713318E0,8.332836562E0
9.337014167E-1,1.628463593E0,-2.911146240E0,7.448510742E0,8.161309845E0
9.436264167E-1,1.110540619E0,-3.458108826E0,7.701185303E0,8.514697422E0
9.535514167E-1,1.115779724E0,-3.963757324E0,7.447013855E0,8.509662266E0
9.634764167E-1,1.322799225E0,-4.491859131E0,6.889123993E0,8.329863482E0
9.734014167E-1,8.047265625E-1,-4.900808716E0,6.447542267E0,8.138569419E0
9.833254167E-1,1.582209778E-1,-4.786895599E0,6.407425690E0,7.999656701E0
9.932504167E-1,-6.014492798E-1,-4.648433533E0,6.418951721E0,7.948120328E0
1.003175417E0,-8.614585876E-1,-4.752616882E0,6.624324646E0,8.198240979E0
1.013100417E0,-1.625020752E0,-5.494923248E0,7.230114899E0,9.225477516E0
1.023025417E0,-3.184178467E0,-6.542744293E0,7.306007080E0,1.031136435E1
1.032950417E0,-2.959346008E0,-4.996908875E0,6.977290649E0,9.077962982E0
1.042875417E0,-1.400337982E0,-3.266207886E0,6.614145813E0,7.508394319E0
1.052800417E0,-1.860930176E0,-3.459006958E0,4.592300262E0,6.042930742E0
1.062725417E0,-7.483837280E0,-6.111191711E0,9.061257019E0,1.324616410E1
1.072650417E0,-8.910969543E0,-7.817792816E0,9.789193268E0,1.537372979E1
1.082575417E0,-6.646179199E0,-6.987469482E0,5.356760559E0,1.103137849E1
1.092500417E0,-7.140451355E0,-6.322851562E0,3.841162262E0,1.028197573E1
1.102425417E0,-7.609426117E0,-5.418731689E0,5.130880280E0,1.065795250E1
1.112350417E0,-9.295370178E0,-5.173840942E0,6.093977509E0,1.226006112E1
1.122280167E0,-1.142663818E1,-6.145320740E0,5.363496552E0,1.403923511E1
1.132205167E0,-1.198856964E1,-6.529871063E0,4.642146606E0,1.441924212E1
