"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.246385833E-1,-2.523602142E0,-2.113455048E0,6.467151489E0,7.256673370E0
6.345635834E-1,-1.891616364E0,-3.064726868E0,6.157445526E0,7.133365170E0
6.444885833E-1,-1.958527222E0,-3.965403900E0,5.885311432E0,7.361871204E0
6.544135833E-1,-1.953587494E0,-4.434977417E0,5.866750031E0,7.609486494E0
6.643385833E-1,-1.519490204E0,-4.636757812E0,6.214925995E0,7.901498504E0
6.742635834E-1,-1.109792175E0,-4.941524048E0,6.478378143E0,8.223118749E0
6.841885833E-1,-1.639989624E0,-5.437293091E0,6.502328339E0,8.633307358E0
6.941135833E-1,-2.854563904E0,-5.883215790E0,6.032605133E0,8.896802111E0
7.040385834E-1,-3.950435028E0,-6.260581055E0,5.491031342E0,9.216953794E0
7.139625833E-1,-4.693639526E0,-6.801556091E0,5.110522614E0,9.716422112E0
7.238875834E-1,-5.310506744E0,-7.489675140E0,4.981341248E0,1.044559602E1
7.338125833E-1,-6.010600891E0,-8.209228821E0,4.997507629E0,1.133551249E1
7.437375833E-1,-7.083869019E0,-8.384514313E0,4.863835602E0,1.200575601E1
7.536625833E-1,-8.179141388E0,-8.021668854E0,4.864733734E0,1.244633116E1
7.635875834E-1,-8.563691711E0,-7.868836670E0,5.395529938E0,1.282057524E1
7.735125833E-1,-8.675209808E0,-8.092770996E0,5.999673615E0,1.329467153E1
7.834375833E-1,-8.860823822E0,-8.747060394E0,6.292764130E0,1.395077578E1
7.933625834E-1,-9.452243958E0,-9.319020996E0,6.734196167E0,1.488416831E1
8.032875833E-1,-9.919272766E0,-9.046138458E0,6.826703796E0,1.506082594E1
8.132125833E-1,-9.640552368E0,-8.198900299E0,6.246360626E0,1.411308744E1
8.231375834E-1,-9.572294312E0,-8.064928894E0,5.748645630E0,1.377384562E1
8.330625833E-1,-9.950857086E0,-8.516090698E0,5.744005280E0,1.430164166E1
8.429875833E-1,-1.069675598E1,-8.554710388E0,5.600753174E0,1.479770572E1
8.529115834E-1,-1.132634674E1,-7.913443909E0,5.499563599E0,1.487124490E1
8.628365833E-1,-1.105960144E1,-7.380102997E0,4.487967224E0,1.403290968E1
8.727615833E-1,-1.094688583E1,-7.234455872E0,3.713328094E0,1.363673226E1
8.826865834E-1,-1.151974457E1,-7.640561371E0,3.740421753E0,1.432038574E1
8.926115833E-1,-1.201222046E1,-7.860304413E0,2.769241333E0,1.462007262E1
9.025365833E-1,-1.331825455E1,-7.021598511E0,1.879341888E0,1.517269507E1
9.124615834E-1,-1.454600143E1,-5.862558746E0,4.193379822E0,1.623392088E1
9.223865833E-1,-1.341091187E1,-5.557044067E0,4.544549561E0,1.521138477E1
