Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
4.872891776,-2.883351326,-9.296115875,0.4283152521,9.74242984,
4.875306724,-2.866601467,-9.281759262,0.4259224236,9.723675688,
4.877721672,-2.864208698,-9.281759262,0.394815743,9.721657571,
4.880136672,-2.866601467,-9.281759262,0.3876372576,9.722073936,
4.88255162,-2.873780012,-9.291330338,0.3684946895,9.732585439,
4.884966568,-2.849851847,-9.296115875,0.3493520916,9.729412767,
4.887381568,-2.837887764,-9.30807972,0.3182454109,9.736284464,
4.889796516,-2.845066071,-9.298508644,0.313459754,9.729076059,
4.892211464,-2.842673302,-9.291330338,0.2799602449,9.720493232,
4.894626464,-2.82831645,-9.317651749,0.2608176768,9.740946253,
4.897041412,-2.830709219,-9.320044518,0.2392822653,9.743377263,
4.89945636,-2.818745136,-9.327222824,0.2273181528,9.74649082,
4.90187136,-2.816352367,-9.3367939,0.2081755698,9.75453218,
4.904286308,-2.806781054,-9.332008362,0.1794617027,9.746620258,
4.906701255,-2.806781054,-9.334401131,0.1674975902,9.748698364,
4.909116255,-2.799602509,-9.355937004,0.1674975902,9.767260971,
4.911531203,-2.79720974,-9.348757744,0.1483550072,9.759388449,
4.913946151,-2.780459881,-9.358329773,0.1363908947,9.763600553,
4.916361151,-2.780459881,-9.379864693,0.1316052526,9.78417798,
4.918776099,-2.754138947,-9.401400566,0.1316052526,9.797394239,
4.921191047,-2.751745939,-9.420542717,0.1244267747,9.814999379,
4.923606047,-2.730210543,-9.427721024,0.1220339537,9.815847676,
4.926020995,-2.723032236,-9.43489933,0.1339980662,9.820905529,
4.928435943,-2.713460922,-9.468399048,0.1363908947,9.850484921,
4.930850891,-2.713460922,-9.477970123,0.1387837082,9.859718493,
4.933265891,-2.70149684,-9.482755661,0.1531406492,9.861246988,
4.935680839,-2.682354212,-9.489934921,0.1651047617,9.863120627,
4.938095787,-2.675175667,-9.480362892,0.1507478207,9.851729306,
4.940510787,-2.660818815,-9.494720459,0.1770688742,9.862100524,
4.942925735,-2.648854733,-9.487542152,0.1986042857,9.852376929,
4.945340683,-2.627319336,-9.485149384,0.2081755698,9.844501145,
4.947755683,-2.603390932,-9.49232769,0.2081755698,9.845063047,
4.95017063,-2.589034081,-9.494720459,0.2368894368,9.844233371,
