"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678395246763000E9,"2023-03-09 15:54:06.763 UTC-05:00"
"PAUSE",1.097061772083398E2,1.678395356469000E9,"2023-03-09 15:55:56.469 UTC-05:00"
