"event","experiment time","system time","system time text"
"START",0.000000000E0,1678410331.406,"2023-03-09 20:05:31.406 UTC-05:00"
"PAUSE",1.048919615E2,1678410436.297,"2023-03-09 20:07:16.297 UTC-05:00"
