,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
0,0.0,-4.825532913,-1.777713895,8.463196754,9.903117383,Standing
1,0.001699896,-4.865687847,-1.83731997,8.574948311,10.02897809,Standing
2,0.003699896,-4.871281147,-1.860083938,8.633711815,10.08614257,Standing
3,0.005699896,-4.879469395,-1.896878123,8.703919411,10.15704589,Standing
4,0.007699896,-4.933482647,-1.975034475,8.754781723,10.24139713,Standing
5,0.009699896,-4.974519253,-2.027074814,8.772499084,10.28647725,Standing
6,0.011699896,-5.025907993,-2.096171379,8.752550125,10.30828886,Standing
7,0.013699896,-5.083321095,-2.140406847,8.713294983,10.31227445,Standing
8,0.015699896,-5.142687798,-2.167193174,8.65289402,10.29643331,Standing
9,0.017699896,-5.19560957,-2.187074423,8.599072456,10.28210584,Standing
10,0.019699896,-5.267751694,-2.216350794,8.51938343,10.25871887,Standing
11,0.021699896,-5.307015896,-2.22530508,8.470436096,10.24034609,Standing
12,0.023699896,-5.35134697,-2.249352455,8.429237366,10.23467359,Standing
13,0.025699896,-5.375097752,-2.246249437,8.418568611,10.23765646,Standing
14,0.027699896,-5.395420074,-2.252953291,8.407382965,10.24062716,Standing
15,0.029699896,-5.421449661,-2.249658823,8.408647537,10.25467867,Standing
16,0.031699896,-5.448800564,-2.258268595,8.411290169,10.27321794,Standing
17,0.033699896,-5.460618496,-2.253930092,8.392911911,10.26350455,Standing
18,0.035699896,-5.477799416,-2.23281312,8.335824966,10.22143428,Standing
19,0.037699896,-5.475807667,-2.227766275,8.290028572,10.18194411,Standing
20,0.039699896,-5.474706173,-2.229202986,8.232539177,10.13491268,Standing
21,0.041699896,-5.480912209,-2.239967346,8.154698372,10.07754722,Standing
22,0.043699896,-5.470454216,-2.235887527,8.111028671,10.03562895,Standing
23,0.045699896,-5.464861393,-2.239124537,8.065175056,9.996271176,Standing
24,0.047699896,-5.464918613,-2.227048159,8.059926987,9.989369449,Standing
25,0.049699896,-5.459737778,-2.217375517,8.063422203,9.987205235,Standing
26,0.051699896,-5.431907177,-2.218601227,8.069139481,9.9769143,Standing
27,0.053699896,-5.403004169,-2.218783379,8.067511559,9.959929542,Standing
28,0.055699896,-5.375940323,-2.18939209,8.058489799,9.931436448,Standing
29,0.057699896,-5.340707302,-2.168821096,8.036607742,9.89009623,Standing
30,0.059699896,-5.300609589,-2.133415699,8.008058548,9.83752643,Standing
31,0.061699896,-5.253931999,-2.094792366,7.99836731,9.796215398,Standing
32,0.063699896,-5.215442657,-2.056389332,7.996959686,9.766316779,Standing
33,0.065699896,-5.201518059,-2.002653837,7.989565849,9.741641287,Standing
34,0.067699896,-5.205348492,-1.933490276,8.006402016,9.743536873,Standing
35,0.069699896,-5.208077908,-1.887818456,8.009687424,9.738738452,Standing
36,0.071699896,-5.21084547,-1.849109054,8.007828712,9.731260735,Standing
37,0.073699896,-5.212991238,-1.785030603,8.033677101,9.74174418,Standing
