"event","experiment time","system time","system time text"
"START",0.000000000E0,1677090144.856,"2023-02-22 13:22:24.856 UTC-05:00"
"PAUSE",1.131035224E2,1677090257.960,"2023-02-22 13:24:17.960 UTC-05:00"
