"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.256998960E-1,-5.268574715E0,-1.691580057E0,8.241905212E0,9.927150857E0
1.276998960E-1,-5.309803009E0,-1.733976722E0,8.140553474E0,9.872653855E0
1.296998960E-1,-5.421391964E0,-1.826000094E0,8.031540871E0,9.860599167E0
1.316998960E-1,-5.528259754E0,-1.938096642E0,7.970556259E0,9.891796681E0
1.336998960E-1,-5.569803715E0,-2.024354935E0,7.838376999E0,9.826539589E0
1.356998960E-1,-5.566921234E0,-2.048986673E0,7.761867523E0,9.769111826E0
1.376998960E-1,-5.580635071E0,-2.096046925E0,7.721587658E0,9.754989311E0
1.396998960E-1,-5.618770123E0,-2.157817364E0,7.682025909E0,9.759112436E0
1.416998960E-1,-5.631823063E0,-2.193241835E0,7.617344379E0,9.723768619E0
1.436998960E-1,-5.681526661E0,-2.248193502E0,7.623789787E0,9.770173486E0
1.456998960E-1,-5.732226372E0,-2.344603539E0,7.576307774E0,9.785500724E0
1.476998960E-1,-5.719958305E0,-2.397065163E0,7.464153767E0,9.704505957E0
1.496998960E-1,-5.672648907E0,-2.417684078E0,7.337232590E0,9.584316564E0
1.516998960E-1,-5.636046410E0,-2.429377079E0,7.251203537E0,9.499833938E0
1.536998960E-1,-5.603370667E0,-2.416228294E0,7.208931446E0,9.444819458E0
1.556998960E-1,-5.550956726E0,-2.372634649E0,7.213432789E0,9.406175012E0
1.576998960E-1,-5.514928818E0,-2.358374834E0,7.239424229E0,9.401363459E0
1.596998960E-1,-5.514143467E0,-2.357809782E0,7.313309669E0,9.457776877E0
1.616998960E-1,-5.640403748E0,-2.476993084E0,7.485461712E0,9.694420365E0
1.636998960E-1,-5.629764080E0,-2.514553547E0,7.482474327E0,9.695599269E0
1.656998960E-1,-5.591188908E0,-2.507811308E0,7.420330048E0,9.623502947E0
1.676998960E-1,-5.521584511E0,-2.506011009E0,7.368404865E0,9.542608498E0
1.696998960E-1,-5.482147694E0,-2.499249697E0,7.366690636E0,9.516739111E0
1.716998960E-1,-5.454699993E0,-2.498052597E0,7.414392471E0,9.537674481E0
1.736998960E-1,-5.452957153E0,-2.494116545E0,7.456779480E0,9.568642499E0
1.756998960E-1,-5.474763870E0,-2.472587824E0,7.536793709E0,9.637945289E0
1.776998960E-1,-5.551598072E0,-2.444058657E0,7.678874969E0,9.785641761E0
1.796998960E-1,-5.674430370E0,-2.450714350E0,7.776894093E0,9.934044623E0
1.816998960E-1,-5.789783001E0,-2.461383104E0,7.825840950E0,1.004110455E1
1.836998960E-1,-5.917633533E0,-2.479138374E0,7.803210735E0,1.010220825E1
1.856998960E-1,-6.030237198E0,-2.483610868E0,7.772871494E0,1.014640896E1
1.876998960E-1,-6.140303612E0,-2.515099287E0,7.731413364E0,1.018841526E1
1.896998960E-1,-6.273066998E0,-2.561805487E0,7.708649635E0,1.026340568E1
1.916998960E-1,-6.366613388E0,-2.602152586E0,7.701696873E0,1.032574931E1
1.936998960E-1,-6.445257664E0,-2.635125399E0,7.715305328E0,1.039284218E1
1.956998960E-1,-6.569421291E0,-2.664152861E0,7.735531807E0,1.049254301E1
1.976998960E-1,-6.644101143E0,-2.666115999E0,7.741402149E0,1.054426677E1
1.996998960E-1,-6.712862968E0,-2.639482975E0,7.687800884E0,1.054190125E1
2.016998960E-1,-6.746256828E0,-2.602133274E0,7.621452808E0,1.050569473E1
2.036998960E-1,-6.760564804E0,-2.538801908E0,7.550287724E0,1.044785128E1
2.056998960E-1,-6.763428211E0,-2.443330765E0,7.493803024E0,1.038609215E1
2.076998960E-1,-6.767680168E0,-2.363948584E0,7.464163303E0,1.034908120E1
2.096998960E-1,-6.752501011E0,-2.270775795E0,7.455323696E0,1.031186424E1
2.116998960E-1,-6.715007782E0,-2.160910606E0,7.439158440E0,1.025192384E1
2.136998960E-1,-6.650134563E0,-2.070275784E0,7.411414146E0,1.017051578E1
2.156998960E-1,-6.598008156E0,-1.983126879E0,7.389847279E0,1.010328395E1
2.176998960E-1,-6.506195545E0,-1.881794691E0,7.341905594E0,9.988759156E0
2.196998960E-1,-6.435939789E0,-1.797221899E0,7.304498672E0,9.899849917E0
2.216998960E-1,-6.365808487E0,-1.722915411E0,7.265616894E0,9.812295555E0
2.236998960E-1,-6.251595497E0,-1.639980197E0,7.255494118E0,9.716695745E0
2.256998960E-1,-6.167051792E0,-1.579972029E0,7.266373634E0,9.660694862E0
2.276998960E-1,-6.049419880E0,-1.494211674E0,7.341810226E0,9.629658707E0
2.296998960E-1,-5.964598179E0,-1.433379889E0,7.439004898E0,9.642085003E0
2.316998960E-1,-5.883300781E0,-1.387162089E0,7.529122353E0,9.655316160E0
2.336998960E-1,-5.793546677E0,-1.349410415E0,7.677859783E0,9.712652697E0
2.356998960E-1,-5.705440044E0,-1.312300324E0,7.804187775E0,9.755999440E0
2.376998960E-1,-5.618396282E0,-1.274672985E0,7.893309593E0,9.772180122E0
2.396998960E-1,-5.498667717E0,-1.234335423E0,8.029568672E0,9.809837086E0
2.416998960E-1,-5.395333290E0,-1.228551030E0,8.117655754E0,9.824219760E0
2.436998960E-1,-5.306901455E0,-1.218236804E0,8.183975220E0,9.829789131E0
2.456998960E-1,-5.221763611E0,-1.217480302E0,8.269294739E0,9.855471017E0
2.476998960E-1,-5.193291664E0,-1.225275755E0,8.337883949E0,9.899085197E0
2.496998960E-1,-5.159945488E0,-1.238118291E0,8.430664062E0,9.961629931E0
2.516998960E-1,-5.149525166E0,-1.260662079E0,8.512488365E0,1.002842642E1
2.536998960E-1,-5.158671379E0,-1.292552829E0,8.588307381E0,1.010156458E1
2.556998960E-1,-5.191280365E0,-1.331856132E0,8.663840294E0,1.018751006E1
2.576998960E-1,-5.226063251E0,-1.355932236E0,8.709483147E0,1.024721357E1
2.596998960E-1,-5.293091297E0,-1.384815812E0,8.693039894E0,1.027148835E1
2.616998960E-1,-5.400198936E0,-1.405204892E0,8.626902580E0,1.027424924E1
2.636998960E-1,-5.485508919E0,-1.418727279E0,8.566645622E0,1.027088177E1
2.656998960E-1,-5.578059196E0,-1.414724231E0,8.483498573E0,1.025114321E1
2.676998960E-1,-5.698630810E0,-1.434758902E0,8.356932640E0,1.021622481E1
2.696998960E-1,-5.789543629E0,-1.449085832E0,8.291234970E0,1.021583293E1
2.716998960E-1,-5.895080090E0,-1.471983910E0,8.202104568E0,1.020750828E1
2.736998960E-1,-5.971598625E0,-1.493397713E0,8.159985542E0,1.022133019E1
2.756998960E-1,-6.048710823E0,-1.505770922E0,8.120461464E0,1.023699873E1
2.776998960E-1,-6.155368328E0,-1.518038869E0,8.063699722E0,1.025749748E1
2.796998960E-1,-6.254133701E0,-1.527692318E0,8.007330894E0,1.027450146E1
2.816998960E-1,-6.358645439E0,-1.506785989E0,7.956429958E0,1.029599697E1
2.836998960E-1,-6.529457569E0,-1.462541223E0,7.883397579E0,1.034025147E1
2.856998960E-1,-6.659299850E0,-1.416812062E0,7.842533112E0,1.038551667E1
2.876998960E-1,-6.777352810E0,-1.380602002E0,7.773139477E0,1.040481957E1
2.896998960E-1,-6.917251110E0,-1.333407640E0,7.658821106E0,1.040595405E1
2.916998960E-1,-7.021245480E0,-1.291681409E0,7.560161114E0,1.039819047E1
2.936998960E-1,-7.167464256E0,-1.222603917E0,7.443496704E0,1.040542875E1
2.956998960E-1,-7.302870750E0,-1.190071583E0,7.378000259E0,1.044907074E1
2.976998960E-1,-7.435796738E0,-1.151553631E0,7.262322426E0,1.045746030E1
2.996998960E-1,-7.554405212E0,-1.075188160E0,7.069378376E0,1.040197954E1
3.016998960E-1,-7.597481728E0,-9.939768314E-1,6.890071869E0,1.030450430E1
3.036998960E-1,-7.609912395E0,-9.063298106E-1,6.682322502E0,1.016787266E1
3.056998960E-1,-7.615926743E0,-8.012722731E-1,6.418059826E0,9.991790096E0
3.076998960E-1,-7.602308750E0,-7.561655045E-1,6.287029743E0,9.894120860E0
3.096998960E-1,-7.576815605E0,-7.417045236E-1,6.205856800E0,9.821961054E0
3.116998960E-1,-7.564489841E0,-7.134721279E-1,6.128332615E0,9.761506527E0
3.136998960E-1,-7.549157143E0,-7.100340724E-1,6.096978664E0,9.729700447E0
3.156998960E-1,-7.539647579E0,-7.151671648E-1,6.042342663E0,9.688532115E0
3.176998960E-1,-7.512890339E0,-6.953049302E-1,5.967643738E0,9.619757896E0
3.196998960E-1,-7.478930473E0,-6.590471268E-1,5.887456894E0,9.541011100E0
3.216998960E-1,-7.421929836E0,-6.233447790E-1,5.749685287E0,9.409170108E0
3.236998960E-1,-7.365243912E0,-5.933502316E-1,5.651292801E0,9.302472397E0
3.256998960E-1,-7.300361156E0,-5.522848368E-1,5.568759918E0,9.198444357E0
3.276998960E-1,-7.196194649E0,-4.958870411E-1,5.478316307E0,9.057763021E0
3.296998960E-1,-7.101154327E0,-4.551281631E-1,5.438515186E0,8.956058388E0
3.316998960E-1,-6.952302456E0,-4.151066840E-1,5.416364193E0,8.822914715E0
3.336998960E-1,-6.841814518E0,-3.865007758E-1,5.423048973E0,8.738951248E0
3.356998960E-1,-6.742129326E0,-3.711587191E-1,5.436131001E0,8.668655426E0
3.376998960E-1,-6.598065376E0,-3.530489802E-1,5.460838795E0,8.572040051E0
3.396998960E-1,-6.473423481E0,-3.539204597E-1,5.451405525E0,8.470436438E0
3.416998960E-1,-6.359947681E0,-3.698179722E-1,5.445659637E0,8.380984950E0
3.436998960E-1,-6.243800163E0,-3.866060972E-1,5.435077190E0,8.287012056E0
3.456998960E-1,-6.159572124E0,-4.096766412E-1,5.420233250E0,8.215052781E0
3.476998960E-1,-6.084403992E0,-4.396520257E-1,5.427549839E0,8.165265647E0
3.496998960E-1,-5.993117809E0,-4.687463939E-1,5.450965405E0,8.114814114E0
3.516998960E-1,-5.920352936E0,-5.047456026E-1,5.496972084E0,8.094569111E0
3.536998960E-1,-5.841899872E0,-5.525530577E-1,5.557746410E0,8.082181275E0
3.556998960E-1,-5.710917950E0,-6.086348295E-1,5.630779266E0,8.043052613E0
3.576998960E-1,-5.597212315E0,-6.424984336E-1,5.672668457E0,7.995045801E0
3.596998960E-1,-5.448350430E0,-6.842054129E-1,5.705267429E0,7.918505913E0
3.616998960E-1,-5.327731133E0,-7.072759271E-1,5.732561588E0,7.857939973E0
3.636998960E-1,-5.192257404E0,-7.263050675E-1,5.757308006E0,7.786761296E0
3.656998960E-1,-5.012366772E0,-7.382473350E-1,5.807758808E0,7.707067676E0
3.676998960E-1,-4.882648945E0,-7.453054190E-1,5.852482319E0,7.658151878E0
3.696998960E-1,-4.784496307E0,-7.573147416E-1,5.926875114E0,7.654592031E0
3.716998960E-1,-4.652268887E0,-7.841776609E-1,6.040197372E0,7.664367208E0
3.736998960E-1,-4.570780277E0,-7.990983129E-1,6.137708664E0,7.694287368E0
3.756998960E-1,-4.520789146E0,-8.258176446E-1,6.242890835E0,7.751980087E0
3.776998960E-1,-4.455206871E0,-8.504874706E-1,6.363577843E0,7.814558219E0
3.796998960E-1,-4.433764458E0,-8.744965196E-1,6.434972763E0,7.863325371E0
3.816998960E-1,-4.440727234E0,-9.138380885E-1,6.501674652E0,7.926344157E0
3.836998960E-1,-4.479589939E0,-9.373778701E-1,6.528356075E0,7.972755881E0
3.856998960E-1,-4.573519230E0,-9.672287703E-1,6.544693947E0,8.042737625E0
3.876998960E-1,-4.765227318E0,-1.025168419E0,6.523375988E0,8.143266909E0
3.896998960E-1,-4.929565430E0,-1.070236921E0,6.482281685E0,8.213768820E0
3.916998960E-1,-5.116399288E0,-1.102233052E0,6.431659222E0,8.292086572E0
3.936998960E-1,-5.397737503E0,-1.189247966E0,6.374561787E0,8.437115553E0
3.956998960E-1,-5.569037437E0,-1.276789427E0,6.239146233E0,8.459983152E0
3.976998960E-1,-5.690117359E0,-1.409370780E0,5.929719448E0,8.338185312E0
3.996998960E-1,-5.823091507E0,-1.603099942E0,5.558465004E0,8.208218889E0
4.016998960E-1,-5.918820858E0,-1.725644827E0,5.406260967E0,8.199874881E0
4.036998960E-1,-6.031386852E0,-1.850746751E0,5.339041233E0,8.264880652E0
4.056998960E-1,-6.105894566E0,-1.913091660E0,5.329502583E0,8.327392504E0
4.076998960E-1,-6.177634239E0,-1.976212382E0,5.338840008E0,8.400701923E0
4.096998960E-1,-6.232020855E0,-2.030819416E0,5.331791401E0,8.449278725E0
4.116998960E-1,-6.259247780E0,-2.046228409E0,5.322502136E0,8.467246451E0
4.136998960E-1,-6.278573513E0,-2.071089745E0,5.304650784E0,8.476391805E0
4.156998960E-1,-6.249383926E0,-2.057146072E0,5.328669548E0,8.466485019E0
4.176998960E-1,-6.213777065E0,-2.041593313E0,5.387882710E0,8.473984232E0
4.196998960E-1,-6.206929684E0,-2.038030624E0,5.447105885E0,8.505910148E0
4.216998960E-1,-6.157245159E0,-2.004521370E0,5.518999100E0,8.508179884E0
4.236998960E-1,-6.125555515E0,-1.977773428E0,5.591936111E0,8.526650431E0
4.256998960E-1,-6.070843220E0,-1.941046357E0,5.650756359E0,8.517854530E0
4.276998960E-1,-5.971483707E0,-1.905420661E0,5.695623875E0,8.469319742E0
4.296998960E-1,-5.900519371E0,-1.858877301E0,5.732131004E0,8.433793898E0
4.316998960E-1,-5.771366596E0,-1.786965132E0,5.760056496E0,8.347464741E0
4.336998960E-1,-5.666040897E0,-1.714612246E0,5.759548664E0,8.259316886E0
4.356998960E-1,-5.543869495E0,-1.661058784E0,5.795088291E0,8.190033795E0
4.376998960E-1,-5.399873257E0,-1.582146049E0,5.839362144E0,8.109251973E0
4.396998960E-1,-5.290161133E0,-1.512771606E0,5.879986763E0,8.052858317E0
4.416998960E-1,-5.142888546E0,-1.432393432E0,5.962232590E0,8.003078845E0
4.436998960E-1,-5.045090199E0,-1.366265655E0,6.048174858E0,7.993749812E0
4.456998960E-1,-4.954225540E0,-1.299141765E0,6.138647079E0,7.994692489E0
4.476998960E-1,-4.880867481E0,-1.241029620E0,6.228391171E0,8.009736479E0
4.496998960E-1,-4.770130634E0,-1.198460817E0,6.359526157E0,8.039529062E0
