"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.225108380E-1,8.034940809E-2,-5.266573429E-1,1.024492264E1,1.025876522E1
1.245108380E-1,7.577169687E-2,-5.200493336E-1,1.020626163E1,1.021978323E1
1.265108380E-1,7.015010715E-2,-5.207197070E-1,1.012016582E1,1.013379625E1
1.285108380E-1,7.701668143E-2,-5.089402199E-1,1.006409359E1,1.007724821E1
1.305108380E-1,9.253110737E-2,-5.073121786E-1,9.996989250E0,1.001028080E1
1.325108380E-1,9.975202382E-2,-5.209590793E-1,9.941932678E0,9.956072228E0
1.345108380E-1,9.522219002E-2,-5.372971892E-1,9.885352135E0,9.900401121E0
1.365108380E-1,8.068460226E-2,-5.560485721E-1,9.857244492E0,9.873245109E0
1.385108380E-1,8.108682185E-2,-5.677322149E-1,9.826090813E0,9.842812383E0
1.405108380E-1,7.469909638E-2,-5.855163932E-1,9.799132347E0,9.816893814E0
1.425108380E-1,6.565858424E-2,-6.135956049E-1,9.774270058E0,9.793730943E0
1.445108380E-1,5.809291080E-2,-6.344826221E-1,9.746067047E0,9.766870833E0
1.465108380E-1,4.796064645E-2,-6.626671553E-1,9.727440834E0,9.750104264E0
1.485108380E-1,3.931279480E-2,-6.740635633E-1,9.693863869E0,9.717350662E0
1.505108380E-1,3.332728520E-2,-6.828742027E-1,9.667240143E0,9.691385859E0
1.525108380E-1,1.033337507E-2,-6.846746206E-1,9.652904510E0,9.677161340E0
1.545108380E-1,-3.769431263E-2,-6.921445131E-1,9.623398781E0,9.648330891E0
1.565108380E-1,-7.994718105E-2,-7.001891136E-1,9.606820107E0,9.632634578E0
1.585108380E-1,-1.149312556E-1,-6.971723437E-1,9.585990906E0,9.611996677E0
1.605108380E-1,-1.666364372E-1,-7.058010697E-1,9.565505981E0,9.592957184E0
1.625108380E-1,-1.904826760E-1,-7.164505124E-1,9.559462547E0,9.588165058E0
1.645108380E-1,-2.227756828E-1,-7.202333212E-1,9.576461792E0,9.606091062E0
1.665108380E-1,-2.552123368E-1,-7.239587307E-1,9.585253716E0,9.615941887E0
1.685108380E-1,-2.766739428E-1,-7.304039598E-1,9.595911980E0,9.627645877E0
1.705108380E-1,-3.112462163E-1,-7.412927151E-1,9.612565994E0,9.646129488E0
1.725108380E-1,-3.369503915E-1,-7.484945059E-1,9.632457733E0,9.667368906E0
1.745108380E-1,-3.490554392E-1,-7.427100539E-1,9.651706696E0,9.686531890E0
1.765108380E-1,-3.646177649E-1,-7.416757941E-1,9.674633980E0,9.709869811E0
1.785108380E-1,-3.829765022E-1,-7.287853956E-1,9.688702583E0,9.723618509E0
1.805108380E-1,-3.952827156E-1,-7.129070759E-1,9.695769310E0,9.729975716E0
1.825108380E-1,-3.883586824E-1,-6.907655001E-1,9.712327957E0,9.744603316E0
1.845108380E-1,-3.976960480E-1,-6.710468531E-1,9.723638535E0,9.754876338E0
1.865108380E-1,-3.744914532E-1,-6.429580450E-1,9.757894516E0,9.786222166E0
1.885108380E-1,-3.531256020E-1,-6.210080385E-1,9.770755768E0,9.796837089E0
1.905108380E-1,-3.318172097E-1,-5.972958207E-1,9.801928520E0,9.825714614E0
1.925108380E-1,-2.815868556E-1,-5.616509914E-1,9.819923401E0,9.840001961E0
1.945108380E-1,-2.524637878E-1,-5.400074124E-1,9.831434250E0,9.849489600E0
1.965108380E-1,-2.169817090E-1,-5.278927684E-1,9.847542763E0,9.864068648E0
