"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.379365833E-1,3.528462524E0,3.520079956E0,1.035711227E1,1.149394560E1
6.478615833E-1,3.519032135E0,3.312910767E0,1.014739838E1,1.123960225E1
6.577865833E-1,3.485501862E0,2.787054291E0,9.634415131E0,1.061783169E1
6.677115833E-1,3.524869995E0,2.415676575E0,9.468859406E0,1.038843108E1
6.776365833E-1,3.374133453E0,2.429148560E0,9.613608398E0,1.047411121E1
6.875615833E-1,3.109334106E0,2.699785767E0,9.570348358E0,1.041865488E1
6.974865833E-1,2.870281219E0,2.957998810E0,9.196126556E0,1.007755004E1
7.074115833E-1,2.681823120E0,3.121309204E0,8.934620361E0,9.836777287E0
7.173365833E-1,2.627486115E0,3.078198853E0,8.832981720E0,9.715994932E0
7.272615833E-1,2.693498840E0,2.969075775E0,8.662935333E0,9.545511801E0
7.371865833E-1,2.762056274E0,2.997217255E0,8.512498169E0,9.437949524E0
7.471115833E-1,2.875071259E0,3.199746094E0,8.448281708E0,9.480394170E0
7.570365833E-1,3.040477295E0,3.362158356E0,8.404871979E0,9.549370868E0
7.669615833E-1,3.288062439E0,3.347937927E0,8.383466492E0,9.607421787E0
7.768865833E-1,3.464545441E0,3.207679596E0,8.431516571E0,9.663475316E0
7.868115833E-1,3.628753967E0,3.031645660E0,8.379125519E0,9.621251230E0
7.967330833E-1,3.667223969E0,2.948418732E0,8.290210419E0,9.532538667E0
8.066580833E-1,3.662433929E0,2.919977875E0,8.242310028E0,9.480262005E0
8.165830833E-1,3.655697937E0,2.846929779E0,8.191116486E0,9.410819616E0
8.265080833E-1,3.649261322E0,2.899021454E0,8.190517731E0,9.423694301E0
8.364330833E-1,3.709436188E0,3.082839203E0,8.242759094E0,9.550229938E0
8.463580833E-1,3.759881287E0,3.124452667E0,8.315507812E0,9.646065620E0
8.562830833E-1,3.745211792E0,2.982248383E0,8.440048828E0,9.703341744E0
8.662080833E-1,3.924089813E0,2.764002228E0,8.431217194E0,9.701732451E0
8.761330833E-1,4.163442078E0,2.558180237E0,8.378077698E0,9.699006236E0
8.860580833E-1,4.229754181E0,2.480940857E0,8.362360382E0,9.694068244E0
8.959830833E-1,4.206103363E0,2.529290314E0,8.473279724E0,9.792092947E0
9.059080833E-1,4.221221924E0,2.701881409E0,8.466244354E0,9.838504518E0
9.158330833E-1,4.260290680E0,2.860401764E0,8.330177307E0,9.783855523E0
9.257580833E-1,4.298012238E0,2.935246124E0,8.247848511E0,9.752721880E0
