"event","experiment time","system time","system time text"
"START",0.000000000E0,1677089668.847,"2023-02-22 13:14:28.847 UTC-05:00"
"PAUSE",1.087564406E2,1677089777.604,"2023-02-22 13:16:17.604 UTC-05:00"
