Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
72.49377185,-11.35394382,-22.92084885,-1.442872047,25.61950882,
72.4961868,-13.72283745,-25.78027153,0.5072783828,29.20951898,
72.4986018,-12.77049446,-27.44088936,1.799402595,30.32038567,
72.50101675,-10.30827999,-28.33102036,1.93340075,30.21002134,
72.5034317,-8.738588333,-29.33600616,1.600798368,30.65170043,
72.5058467,-8.36052227,-30.54438019,0.8255237937,31.67868342,
72.50826165,-8.300702095,-31.99921799,-0.5144568682,33.06230895,
72.51067659,-8.238488197,-33.41576767,-1.9812572,34.47334618,
72.51309154,-8.293522835,-34.56193161,-3.146561861,35.68207518,
72.51550654,-7.91306448,-35.52623749,-4.034298897,36.61974477,
72.51792149,-7.207181931,-36.29433441,-4.536791801,37.28008398,
72.52033644,-6.496513367,-36.75375748,-4.778466702,37.62814264,
72.52275144,-5.836094379,-36.81836319,-4.878965378,37.59595947,
72.52516638,-5.314459324,-36.37808228,-5.11585474,37.1184633,
72.52758133,-4.835894585,-35.55734634,-5.558526993,36.31264212,
72.52999628,-4.28315258,-34.38964844,-6.226124287,35.21019652,
72.53241128,-3.6299119,-33.07359314,-6.939185619,33.98810263,
72.53482623,-3.031706333,-31.68336487,-7.647460938,32.73393517,
72.53724118,-2.52682066,-30.18067169,-8.130811691,31.3586968,
72.53965618,-2.340180635,-28.62772942,-8.377271652,29.91992676,
72.54207112,-2.378465652,-27.21357155,-8.458627701,28.59692217,
72.54448607,-2.581855536,-25.80419922,-8.384450912,27.25475541,
72.54690107,-2.711068153,-24.53839684,-8.197810173,26.01320629,
72.54931602,-2.81395936,-23.48555374,-7.948956966,24.95346707,
72.55173097,-2.94317174,-22.54996109,-7.6426754,23.99111278,
72.55414597,-2.976671457,-21.79143524,-7.32203722,23.18058351,
72.55656092,-3.010170937,-21.18605232,-6.955935478,22.50099954,
72.55897587,-3.029313564,-20.72902298,-6.577869415,21.95762966,
72.56139081,-3.041277647,-20.40838432,-6.180660725,21.53954706,
72.56380581,-3.017349243,-20.17149544,-5.836094379,21.21446729,
72.56622076,-3.026920557,-20.03510475,-5.517848969,21.00034113,
72.56863571,-3.093919754,-19.93699837,-5.319244862,20.86505713,
72.57105071,-3.194418192,-19.87478447,-5.221138954,20.79595291,
72.57346566,-3.282952785,-19.82453537,-5.235496044,20.76536541,
72.5758806,-3.397808075,-19.73600197,-5.266602516,20.70729281,
72.5782956,-3.455235958,-19.6139679,-5.295316696,20.60792981,
72.58071055,-3.457628727,-19.39143562,-5.38624382,20.4204455,
72.5831255,-3.421736479,-19.20718765,-5.508277893,20.27228313,
72.58554045,-3.354737282,-18.9870472,-5.709274769,20.10865589,
72.58795545,-3.268595695,-18.6855526,-5.958128452,19.88297987,
72.5903704,-3.153740168,-18.26920128,-6.21894598,19.55466905,
72.59278534,-3.06999135,-17.80977821,-6.434299946,19.18367177,
72.59520034,-2.928814888,-17.32882118,-6.589833736,18.76944083,
72.59761529,-2.792423964,-16.84786415,-6.66640377,18.33273295,
72.60003024,-2.603390932,-16.3645134,-6.671189308,17.86280241,
72.60244524,-2.467000246,-15.85245037,-6.577869415,17.33939558,
72.60486019,-2.378465652,-15.29013634,-6.372086525,16.73466028,
72.60727514,-2.249253273,-14.76132298,-6.135197163,16.14299974,
72.60969008,-2.139183521,-14.24208069,-5.864808083,15.55020715,
72.61210508,-2.091326952,-13.73480225,-5.565705299,14.96647977,
72.61452003,-2.002792597,-13.22991657,-5.261816978,14.37805928,
72.61693498,-1.957328916,-12.72981644,-4.948357105,13.79730412,
72.61934998,-1.856830359,-12.26082325,-4.630111694,13.23682515,
72.62176493,-1.720439434,-11.79900837,-4.314259052,12.68027372,
72.62417988,-1.584048629,-11.34676456,-4.036691666,12.14714599,
72.62659488,-1.500299811,-10.89691448,-3.802195072,11.63831311,
72.62900982,-1.418943882,-10.45184898,-3.546163082,11.12788486,
72.63142477,-1.299302697,-10.04506969,-3.318845034,10.65862773,
72.63383977,-1.189232826,-9.633503914,-3.098705292,10.18924172,
72.63625472,-1.088734269,-9.2362957,-2.90967226,9.744777741,
72.63866967,-1.012163997,-8.853444099,-2.706282377,9.312996976,
72.64108462,-0.8973084688,-8.449056625,-2.536391973,8.867074184,
72.64349962,-0.7992027402,-8.059026718,-2.390429735,8.44397957,
72.64591456,-0.7728816867,-7.676175117,-2.222932339,8.028850398,
72.64832951,-0.7728816867,-7.314858913,-2.074577332,7.642537414,
72.65074451,-0.7058826685,-6.967899323,-1.923829436,7.262989124,
72.65315946,-0.6412764788,-6.613761902,-1.785045743,6.880368473,
72.65557441,-0.6388836503,-6.242874146,-1.615155339,6.479998201,
72.65798935,-0.6005984545,-5.886343479,-1.450050473,6.091995111,
72.66040435,-0.5216353536,-5.565705299,-1.258624673,5.730036212,
72.6628193,-0.4546363056,-5.25942421,-1.081555843,5.388691885,
72.66523425,-0.4474578202,-4.950749874,-0.9236295223,5.056009722,
72.66764925,-0.3996013701,-4.666004181,-0.7776673436,4.747214211,
72.6700642,-0.390030086,-4.366901398,-0.6460621357,4.431630351,
72.67247915,-0.3684946895,-4.118047714,-0.5024927258,4.16492548,
72.67489409,-0.3302095234,-3.878765583,-0.3852444589,3.911812121,
72.67730909,-0.3182454109,-3.598805189,-0.2775674164,3.623495909,
72.67972404,-0.2321037948,-3.333201885,-0.1842473447,3.346349364,
72.68213899,-0.1722832322,-3.091526747,-0.1028913707,3.098032565,
72.68455399,-0.1411765367,-2.821137905,-0.0,2.824668103,
72.68696894,-0.1220339537,-2.569891453,0.08853443712,2.574310143,
72.68938388,-0.07896314561,-2.342573404,0.1770688742,2.350582634,
72.69179889,0.002392822644,-2.120040894,0.2727817893,2.137519361,
72.69421383,0.08614161611,-1.899901152,0.380458802,1.939534394,
72.69662878,0.1722832322,-1.701296926,0.4857429862,1.77764985,
72.69904378,0.2632105052,-1.529013634,0.5838487148,1.657721866,
72.70145873,0.342173636,-1.344766378,0.6628118753,1.537790295,
72.70387368,0.409172684,-1.179661512,0.7298108935,1.44625292,
72.70628862,0.4881358147,-0.9954141974,0.7872386575,1.359731849,
72.70870362,0.5575276613,-0.8566305041,0.8303094506,1.316839663,
72.71111857,0.626919508,-0.7130611539,0.8781659007,1.29331343,
72.71353352,0.6675975323,-0.6125625968,0.9044869542,1.280240622,
72.71594852,0.7465606928,-0.5024927258,0.9164510965,1.284419877,
72.71836347,0.8207381964,-0.433100909,0.9164510965,1.304250818,
72.72077842,0.8781659007,-0.3302095234,0.9164510965,1.311524415,
72.72319336,0.9212366939,-0.2536391914,0.9212366939,1.32728555,
72.72560836,0.8997012973,-0.1890329868,0.9212366939,1.30148874,
72.72802331,0.8494520187,-0.1196411327,0.8949156404,1.239659928,
72.73043826,0.8087740541,-0.06221338734,0.8805587292,1.197234167,
72.73285326,0.7704889178,-0.0239282269,0.8470591903,1.145310004,
72.73526821,0.7704889178,-0.002392822644,0.837487936,1.138000413,
72.73768316,0.7369893789,0.002392822644,0.8207381964,1.103073097,
72.74009816,0.708275497,0.02632104978,0.784845829,1.057511207,
72.7425131,0.7226324677,0.05503492057,0.7513462901,1.043909849,
72.74492805,0.7274180651,0.06699903309,0.7130611539,1.020824236,
72.74734305,0.7274180651,0.08614161611,0.6699903607,0.9926955741,
72.749758,0.6963114142,0.06939185411,0.6173482537,0.9331579081,
72.75217295,0.6915257573,0.07417750359,0.5814558864,0.906532472,
72.75458795,0.6460621357,0.08135596663,0.5503492355,0.8525839299,
72.7570029,0.5838487148,0.08614161611,0.5072783828,0.7782230127,
72.75941784,0.5527420044,0.08374879509,0.4474578202,0.7160698883,
72.76183279,0.5264210105,0.1004985496,0.4354937077,0.6905605029,
72.76424779,0.5096712112,0.09810572863,0.3876372576,0.6478056198,
72.76666274,0.500099957,0.06699903309,0.3565305769,0.6178210823,
72.76907769,0.4761717021,0.07417750359,0.3158525825,0.5761984431,
72.77149269,0.471386075,0.0765703246,0.2703889608,0.5487968991,
72.77390764,0.4666004181,0.06939185411,0.2344966233,0.5268015242,
72.77632258,0.4666004181,0.07178468257,0.2153540403,0.5188895388,
72.77873753,0.4618147612,0.08374879509,0.1722832322,0.4999682454,
72.78115253,0.4953143001,0.05264209956,0.1244267747,0.51340965,
72.78356748,0.524028182,0.06221338734,0.07417750359,0.5328961842,
72.78598243,0.5551348329,0.06221338734,0.0239282269,0.5591223017,
72.78839743,0.5910272002,0.05982056633,-0.01914258115,0.5943551884,
72.79081238,0.6317051649,0.05742774159,-0.02871387079,0.634959721,
72.79322732,0.6675975323,0.06221338734,-0.0239282269,0.6709169328,
72.79564232,0.6867401004,0.03110669367,-0.0239282269,0.6878605614,
72.79805727,0.6915257573,0.02153540403,-0.04307080805,0.6932003615,
72.80047222,0.6604190469,0.04546362907,-0.0933200866,0.6685274098,
72.80288722,0.6340979934,0.03349951655,-0.1627119333,0.6554980214,
72.80530217,0.6245267391,0.03589234129,-0.2081755698,0.6592867175,
72.80771712,0.6173482537,0.06699903309,-0.2799602449,0.6811647932,
72.81013206,0.6053841114,0.1004985496,-0.35174492,0.7073290391,
72.81254706,0.5958128572,0.1292124242,-0.3996013701,0.728951347,
72.81496201,0.5766702294,0.1339980662,-0.4522434771,0.7450021462,
72.81737696,0.5623133183,0.1387837082,-0.4953143001,0.7620980523,
72.81979196,0.5814558864,0.1531406492,-0.5407779217,0.8086926281,
72.82220691,0.5790630579,0.1842473447,-0.5982056856,0.8527081279,
72.82462185,0.5838487148,0.1890329868,-0.6364908218,0.8841568629,
72.8270368,0.5862415433,0.2009970993,-0.6556333899,0.9021829765,
72.8294518,0.5838487148,0.2153540403,-0.6628118753,0.9091623983,
72.83186675,0.5694918036,0.2273181528,-0.6747759581,0.9117658968,
72.83428175,0.5623133183,0.2297109663,-0.679561615,0.9114644176,
72.8366967,0.5551348329,0.2201396823,-0.6843472719,0.9082771333,
72.83911165,0.5335994363,0.2416750938,-0.7154539824,0.924667297,
72.84152659,0.5144568682,0.2632105052,-0.7345965505,0.9346538029,
72.84394159,0.4929214716,0.2488535494,-0.7585247755,0.9382214564,
72.84635654,0.4881358147,0.2608176768,-0.7776673436,0.9544993093,
72.84877149,0.4450650215,0.2464607358,-0.7752745152,0.927295175,
72.85118649,0.4211367965,0.2344966233,-0.7513462901,0.8926735771,
72.85360144,0.4019941986,0.2177468538,-0.7298108935,0.8611834696,
72.85601638,0.3613162339,0.2177468538,-0.7298108935,0.8429632575,
72.85843133,0.337387979,0.2129612118,-0.7417750359,0.8422667807,
72.86084633,0.2560320199,0.1722832322,-0.7345965505,0.7967847885,
72.86326128,0.1028913707,0.01196411345,-0.7058826685,0.7134424405,
72.86567623,0.08853443712,-0.07896314561,-0.6939185858,0.7039861708,
72.86809123,0.1172483116,-0.1028913707,-0.70348984,0.7205773767,
72.87050618,0.1220339537,-0.1220339537,-0.6843472719,0.7057731649,
72.87292112,0.1148554832,-0.1316052526,-0.6604190469,0.6831288619,
72.87533612,0.1052841991,-0.1172483116,-0.6197410822,0.6394614438,
72.87775107,0.08614161611,-0.1483550072,-0.6077769399,0.6315238672,
72.88016602,0.06939185411,-0.1722832322,-0.5934200287,0.6218071019,
72.88258102,0.05503492057,-0.2057827413,-0.6149554253,0.6508037755,
72.88499597,0.03349951655,-0.2177468538,-0.6556333899,0.6916581901,
72.88741092,-0.04546362907,-0.2512463629,-0.7896314859,0.8298852692,
72.88982586,-0.1435693651,-0.337387979,-1.060020447,1.121644399,
72.89224086,-0.3014956415,-0.4905286431,-1.464407444,1.573533328,
72.89465581,-0.6101697683,-0.7704889178,-2.203789711,2.413016662,
72.89707076,-1.301695466,-1.301695466,-3.486342669,3.942512825,
72.89948576,-2.043470621,-2.038684845,-5.041677475,5.80951976,
72.90190071,-3.196810961,-3.199203968,-7.673782349,8.907381315,
72.90431566,-4.622933388,-4.840680122,-11.31087303,13.14304173,
72.90673066,-5.922235966,-7.453642368,-14.60578918,17.43441255,
72.9091456,-9.394221306,-13.82572937,-16.59661865,23.55525286,
72.91156055,-17.76670837,-24.33500671,-19.31725693,35.7911287,
72.9139755,-24.25125694,-32.41796112,-21.14298058,45.67355136,
72.9163905,-24.96192551,-36.27040482,-20.77687836,48.68591855,
72.91880545,-21.53779602,-37.42853165,-19.28614998,47.29405057,
72.9212204,-17.1421814,-39.11547089,-16.08694649,45.6362169,
72.9236354,-13.95494175,-41.72603989,-12.77767277,45.81562752,
72.92605034,-12.36371422,-43.45365906,-10.60499001,46.40633284,
72.92846529,-11.87557888,-44.04229355,-9.990034103,46.69640003,
72.93088024,-11.27976608,-44.05665207,-9.980463028,46.55997591,
72.93329524,-10.01635551,-44.0614357,-10.02353382,46.28400073,
72.93571019,-7.759923935,-44.10689926,-10.01156998,45.88972124,
72.93812514,-5.685346603,-44.25764847,-9.712467194,45.66612128,
72.94054014,-3.988835335,-44.05186462,-9.176474571,45.17394459,
72.94295508,-2.478964329,-44.0231514,-8.396414757,44.88521921,
72.94537003,-1.323230863,-43.85086823,-7.264609337,44.46823735,
72.94778498,-0.6628118753,-43.10430527,-5.395814896,43.44577391,
72.95019998,-0.3732803464,-41.78825378,-3.306880951,41.92055527,
72.95261493,-0.3326023519,-40.19942093,-1.378265858,40.22441652,
72.95502988,-0.8685946465,-38.21337891,0.2703889608,38.22420561,
72.95744488,-2.012363911,-35.16731262,0.7944171429,35.23379889,
72.95985982,-3.421736479,-32.38685608,1.442872047,32.59905838,
72.96227477,-4.642076015,-30.34099197,2.163111687,30.77017575,
72.96468977,-5.659025669,-28.16352272,2.689532757,28.85207393,
72.96710472,-6.211767673,-26.54597473,3.182454109,27.44818475,
72.96951967,-6.329015732,-25.30170631,3.347558975,26.29522644,
72.97193467,-6.317051888,-24.21536446,3.077169895,25.21424191,
72.97434962,-6.419943333,-23.23191452,2.512463808,24.23324161,
72.97676456,-6.599404812,-22.5140686,1.914258122,23.53932482,
72.97917951,-6.898507595,-21.73400879,1.239482164,22.83621819,
72.98159451,-6.814758778,-21.12383842,0.5551348329,22.20283004,
72.98400946,-6.479763508,-20.80559349,0.06699903309,21.79138693,
72.98642441,-5.967699528,-20.5806675,-0.3613162339,21.43146896,
72.98883941,-5.441278458,-20.46581268,-0.7824530005,21.19125368,
72.99125435,-4.981856823,-20.35334969,-1.186840057,20.9877662,
72.9936693,-4.510470867,-20.20020866,-1.64626193,20.76301895,
72.9960843,-4.110869408,-20.02313995,-2.143969059,20.55290695,
72.99849925,-3.790230989,-19.80539322,-2.65364027,20.33866412,
