Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
4.96181925,0.7785310364,-9.715845795,0.2365081787,9.749856727,
4.97174425,0.7976911926,-9.735754395,0.2601589966,9.771842588,
4.98166925,0.8047265625,-9.755962372,0.2570155334,9.79246872,
4.99159425,0.7978408813,-9.766440582,0.2442919922,9.802019705,
5.00151925,0.7848179626,-9.790989532,0.2303709412,9.825094708,
5.01144425,0.7673043823,-9.797276459,0.2155517578,9.829641122,
5.02136925,0.7667056274,-9.771979065,0.2243833923,9.804578536,
5.03129325,0.7493417358,-9.742041321,0.2435435486,9.773852648,
5.04121825,0.7548802185,-9.736203461,0.2674937439,9.769086696,
5.05114325,0.7668553162,-9.732610931,0.2737806702,9.76661346,
5.06106825,0.7731422424,-9.727072449,0.2793191528,9.761747105,
5.07099325,0.7767347717,-9.73395813,0.2562670898,9.768261391,
5.08091825,0.7679031372,-9.761201477,0.2727328491,9.795157615,
5.09084325,0.7884104919,-9.796528015,0.2784210205,9.832144757,
5.10076725,0.8238867188,-9.82167572,0.3032693481,9.86083544,
5.11069225,0.8437953186,-9.795031128,0.2911445618,9.83561846,
5.12061725,0.812510376,-9.747579803,0.2740800476,9.78522381,
5.13054225,0.7896080017,-9.726024628,0.250279541,9.761233309,
5.14046725,0.783021698,-9.719588013,0.2230361938,9.753628005,
5.15039225,0.7863148499,-9.714199219,0.2176473999,9.748401299,
5.16031725,0.7918533325,-9.730664978,0.2398013306,9.765775816,
5.17024125,0.8093669128,-9.735305328,0.2580633545,9.772299695,
5.18016625,0.8210426331,-9.757758636,0.2659968567,9.795852129,
5.19009125,0.8325686646,-9.770332489,0.2728825378,9.809537828,
5.20001625,0.8408015442,-9.766440582,0.2588117981,9.805982482,
5.20994125,0.8289761353,-9.757608948,0.2365081787,9.795614832,
5.21986625,0.8282276917,-9.762848053,0.2218386841,9.800427318,
5.22979125,0.8315208435,-9.761051788,0.2287243652,9.799075148,
5.23971625,0.852177887,-9.782756653,0.2263293457,9.822411102,
5.24964025,0.9110055542,-9.817933502,0.23635849,9.862941484,
5.25956525,0.9012757874,-9.824669495,0.3049159241,9.870633336,
5.26949025,0.98989151,-9.764045563,0.2258802795,9.816694599,
5.27941525,0.9693841553,-9.748178558,0.2423460388,9.799256219,
5.28934025,0.9241781616,-9.73740097,0.2380050659,9.784054852,
5.29926525,0.8809181213,-9.726324005,0.242795105,9.769152719,
5.30919025,0.835562439,-9.728419647,0.2731819153,9.768057216,
5.31911425,0.7764353943,-9.72228241,0.2993774414,9.757830395,
5.32903925,0.7435038757,-9.717342682,0.3412902832,9.751719124,
5.33896425,0.7297325134,-9.738149414,0.38963974,9.773222738,
5.34888925,0.750838623,-9.748927002,0.3891906738,9.785540645,
5.35881425,0.781973877,-9.747579803,0.3852987671,9.786483041,
5.36873925,0.7988887024,-9.749675446,0.3900888062,9.790125828,
5.37866425,0.7964936829,-9.730964355,0.3707789612,9.770544842,
5.38858825,0.7881111145,-9.742939453,0.362845459,9.781495036,
5.39851325,0.7671546936,-9.734407196,0.3731739807,9.771717792,
5.40843825,0.7301815796,-9.721234589,0.4037104797,9.756974388,
5.41836325,0.6941065979,-9.725276184,0.4158352661,9.758877999,
5.42828825,0.6710545349,-9.720486145,0.4300556946,9.753107863,
5.43821325,0.6569837952,-9.68830307,0.4375401306,9.720405622,
5.44813825,0.6755451965,-9.667646027,0.440533905,9.7012273,
5.45806225,0.7334747314,-9.673932953,0.4418811035,9.71175694,
5.46798725,0.7825726318,-9.699529724,0.4610412598,9.741963654,
5.47791225,0.8120613098,-9.716594238,0.4902305603,9.762785113,
5.48783725,0.8056246948,-9.724078674,0.5132826233,9.770885132,
5.49776225,0.7843688965,-9.759255524,0.5060975647,9.803797106,
5.50768725,0.7620652771,-9.788744202,0.4902305603,9.830594211,
