Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
64.51337754,-0.5412744141,-4.083508301,0.2987786865,4.13004682,
64.52330354,0.1851649475,-4.588408356,-0.2914439392,4.60138206,
64.53322854,0.869841156,-6.006858673,-0.9692344666,6.146412792,
64.54315354,1.704056396,-9.257199554,-1.418749695,9.519054706,
64.55307854,1.471440125,-16.60302383,-1.266366577,16.71613654,
64.56300454,-0.129181366,-24.98559219,-2.383044434,25.09931086,
64.57292954,-0.5239105225,-23.58420639,-2.40220459,23.71201932,
64.58285454,-0.8599617004,-18.08958252,-1.486858063,18.17094595,
64.59278054,-2.127675476,-15.72285416,-0.4516108704,15.87258952,
64.60270554,-3.11592041,-14.59899124,0.2429447937,14.92978658,
64.61263054,-3.012784882,-13.60535751,0.3585044861,13.93955348,
64.62255554,-2.830014954,-12.33509903,0.1595681763,12.65658385,
64.63248154,-2.778671722,-10.69031937,-0.5233117676,11.05792928,
64.64240654,-2.855312347,-8.948391724,-1.262774048,9.477400558,
64.65233154,-2.732268219,-7.506739655,-2.173480225,8.278915759,
64.66225654,-2.624791718,-6.545887756,-2.963986359,7.65005838,
64.67218254,-2.394570465,-5.648503876,-3.419489136,7.023707689,
64.68210754,-2.336042175,-5.636678467,-3.822750549,7.200184647,
64.69203254,-1.845661926,-6.054908752,-3.538192291,7.25170274,
64.70195854,-0.9586065674,-6.164480896,-3.012635193,6.927894491,
64.71188354,-0.3171903992,-6.524781647,-2.698139191,7.067767708,
64.72180854,0.001047821045,-7.094646606,-2.741848297,7.606033372,
64.73173354,0.04251159668,-7.609426117,-3.000360718,8.17969055,
64.74165954,-0.008232879639,-8.205486603,-3.382516022,8.875330574,
64.75158454,0.002993774414,-8.829987946,-3.654051361,9.556191052,
64.76150954,0.09086105347,-9.302854614,-3.70569397,10.01416634,
64.77143454,0.1796264648,-9.346563721,-3.418291626,9.953654439,
64.78136054,0.3867956543,-8.941655731,-3.050506439,9.455601918,
64.79128554,0.5019062805,-8.349487152,-2.759810944,8.80808731,
64.80121054,0.4231700134,-7.832013245,-2.807861023,8.330881577,
64.81113654,0.2953358459,-7.382647705,-2.98494278,7.968725983,
64.82106154,0.1585203552,-7.042405243,-3.235222321,7.751597498,
64.83098654,-0.08427474976,-6.803502045,-3.289259949,7.557378733,
64.84091154,-0.5013075256,-6.784790955,-2.98838562,7.43068948,
64.85083754,-0.9328601074,-6.8930159,-2.698139191,7.460821085,
64.86076254,-1.48835495,-6.655010834,-2.780917053,7.3646364,
64.87068754,-2.06989563,-6.339766388,-2.928210754,7.283647712,
64.88061254,-2.550546112,-6.175557861,-3.421584778,7.506666554,
64.89053854,-3.514092407,-6.619534607,-4.470303955,8.726436919,
64.90046354,-4.682861938,-7.503895569,-5.481002197,10.40572101,
64.91038854,-5.125192108,-7.873027954,-6.034401398,11.16540029,
64.92031454,-5.421875153,-8.430917816,-6.095773773,11.73181841,
64.93023954,-4.827311554,-9.73156311,-5.46318924,12.15946932,
64.94016454,-4.05087616,-10.72295151,-5.201832733,12.58770632,
64.95008954,-3.993844757,-11.09283234,-5.520669708,13.01842998,
64.96001554,-4.351750488,-11.18459152,-5.444777527,13.17871094,
64.96994054,-4.894222412,-10.86695206,-4.839735718,12.86340164,
64.97986554,-5.363496552,-10.25337799,-4.098477173,12.27584501,
64.98979154,-5.567821655,-9.627978516,-3.467239838,11.64990817,
64.99971654,-5.43968811,-9.017248535,-3.197351074,11.00563636,
65.00964154,-5.057233429,-8.908275146,-3.482358398,10.81941755,
65.01956654,-3.87768631,-9.775571594,-3.904330902,11.21793434,
65.02949254,-2.517015839,-12.20082825,-3.421584778,12.91908747,
65.03941754,-1.548380127,-15.3082164,-2.827470245,15.64396236,
65.04934254,0.2212399292,-16.74058777,-2.280357971,16.89663453,
65.05926754,1.642085266,-16.81034271,-0.597557373,16.9009213,
65.06919354,1.593735809,-14.48477875,0.6828799438,14.58818475,
65.07911854,0.2130070496,-11.11947693,-0.3607498169,11.12736625,
65.08904354,-0.5322930908,-8.695268097,-2.323618011,9.016109132,
65.09896954,-1.019679565,-7.848778381,-2.561473389,8.318907045,
65.10889454,-1.166673889,-8.553213501,-1.964065704,8.853030173,
65.11881954,-1.227597198,-9.655371552,-1.154998169,9.801388445,
65.12874454,-0.4320016479,-10.16476227,0.1164578247,10.17460465,
65.13867054,0.9253756714,-10.20158569,1.055604858,10.29771685,
65.14859554,2.158211975,-10.24499542,-0.2158511353,10.47207725,
65.15852054,3.163521423,-10.48704208,-2.099983063,11.15328868,
65.16844554,3.963008881,-10.44348267,-3.672463074,11.75834829,
65.17837217,3.566782837,-10.45605652,-4.57733139,11.95838703,
65.18829717,2.753973083,-10.19260437,-4.703968048,11.55858413,
65.19822217,1.266366577,-9.669442291,-4.575984192,10.77225278,
65.20814817,0.5200186157,-8.831484833,-4.160298615,9.776176567,
65.21807317,0.1112187195,-8.087831268,-4.395459595,9.205729155,
65.22799817,0.205821991,-8.126750336,-4.212839355,9.156115396,
65.23792317,1.034049683,-8.484506378,-3.582350464,9.267650299,
65.24784917,1.860331421,-9.064250793,-3.329077148,9.833830897,
65.25777417,2.246079254,-9.675878906,-3.767964478,10.62379692,
65.26769917,1.573378143,-10.42492126,-4.077221375,11.30390359,
65.27762517,0.6698570251,-10.58389069,-3.894451447,11.29753082,
65.28755017,-0.1451980591,-10.17973114,-3.487747192,10.76161647,
65.29747517,-0.6571334839,-9.353000336,-3.155587921,9.892834519,
65.30740017,-1.108594666,-8.406817932,-2.471510468,8.832436463,
65.31732617,-1.456022186,-8.020770721,-1.572480011,8.302135687,
65.32725117,-1.383273468,-8.264164581,-0.9247769165,8.430010324,
65.33717617,-1.261875916,-8.490344238,-0.7692503357,8.618005697,
65.34710217,-1.020877075,-8.849597168,-1.123862915,8.978899036,
65.35702717,-0.7858657837,-9.093290405,-1.629062347,9.271427051,
65.36695217,-0.6262976074,-9.074279938,-2.044298859,9.32276584,
65.37687717,-0.5590873718,-8.723409576,-2.588567047,9.116530737,
65.38680317,-0.4186793518,-8.396190033,-3.142415314,8.974746429,
65.39672817,-0.3647914124,-8.166417847,-3.435805206,8.867254966,
65.40665317,-0.3433859253,-8.041278076,-3.691024475,8.854588001,
65.41657917,-0.2371069336,-8.093669128,-3.827540588,8.956213855,
65.42650417,-0.06212081909,-8.23976532,-3.855981445,9.097592232,
65.43642917,0.09939331055,-8.164471893,-3.750450897,8.985230229,
65.44635417,0.163460083,-8.21985672,-3.510649567,8.939654584,
65.45628017,0.4691244507,-8.320746918,-3.080144806,8.884942265,
65.46620517,0.6957531738,-8.312963104,-2.640658722,8.750000374,
65.47613017,1.115779724,-8.473579102,-2.15057785,8.813143155,
65.48605517,1.590292969,-8.534801788,-1.613045654,8.830276869,
65.49598117,2.259551239,-8.722661133,-1.256038055,9.097693149,
65.50590617,2.742596741,-9.089697876,-1.174308014,9.566788577,
65.51583117,2.868035889,-9.590107269,-1.622625732,10.14044879,
