Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
109.1772702,-1.890718231,-8.816216583,-3.163521423,9.5555407,
109.1871952,-1.041234741,-11.92165878,-3.46813797,12.45945821,
109.1971212,-0.5971083069,-11.89800797,-1.496138763,12.00656333,
109.2070462,-0.2378553772,-10.06985962,-0.9077124023,10.11348554,
109.2169677,-0.3046165466,-8.863218842,-1.181642761,8.94682732,
109.2268937,-0.8089178467,-8.439150696,-1.424288177,8.596639423,
109.2368187,-1.246907043,-8.165968781,-1.54104538,8.403132997,
109.2467447,-1.26486969,-8.680299225,-1.746268616,8.944101075,
109.2566697,-1.145418091,-9.68007019,-2.268981628,10.0081976,
109.2665957,-1.33043335,-9.91298584,-2.909499664,10.41645475,
109.2765207,-1.394200745,-9.871072998,-3.128943329,10.44854843,
109.2864467,-1.187779999,-10.35561539,-3.16861084,10.89447961,
109.2963717,-1.021326141,-11.82271454,-2.379302216,12.10292383,
109.3062977,-0.1323248291,-10.57490936,-1.445244598,10.67403156,
109.3162227,-0.136665802,-8.926686859,-1.516047363,9.055540593,
109.3261487,-0.7177574158,-9.109756165,-1.887574768,9.330904114,
109.3360737,-1.261726227,-9.895172882,-2.455194397,10.2729927,
109.3459997,-1.52457962,-10.53164932,-2.696492615,10.97775263,
109.3559247,-1.633852386,-10.29484177,-2.532733154,10.72697431,
109.3658497,-1.192120972,-9.473948822,-2.229613495,9.805510442,
109.3757757,-0.5559439087,-8.921298065,-2.242486725,9.215605217,
109.3857007,-0.2692900085,-8.860823822,-2.551893311,9.224905169,
109.3956267,-0.1862127686,-9.151519318,-2.635120239,9.525168749,
109.4055517,-0.4451742554,-9.843380585,-2.249372406,10.1069282,
109.4154777,-0.89394104,-9.814790039,-1.713187408,10.00321174,
109.4254027,-1.201850739,-8.98506546,-1.499581604,9.188285559,
109.4353287,-1.535806274,-8.750652924,-1.718725891,9.049124057,
109.4452537,-1.528022461,-8.110583954,-1.907633057,8.470861148,
109.4551797,-1.141825562,-7.866291962,-1.964365082,8.187859611,
109.4651047,-0.7156617737,-8.502019958,-2.04998703,8.77490524,
109.4750307,-0.6668632507,-8.396938477,-2.048041077,8.668780458,
109.4849557,-0.2826123047,-7.486531677,-1.925745392,7.735407008,
109.4948817,-0.1820214844,-7.54820343,-1.806443481,7.763487934,
109.5048067,-0.2677931213,-8.99210083,-1.931134186,9.201025472,
109.5147327,-0.2794688416,-9.43203598,-2.564167786,9.778361928,
109.5246577,-0.05882766724,-8.868457947,-4.04848114,9.749010544,
109.5345827,-0.2745291138,-9.79712677,-5.353467407,11.16775145,
109.5445087,-0.872535553,-11.45597717,-5.316194916,12.65948892,
109.5544337,-1.468146973,-12.4735611,-3.588188324,13.0621697,
109.5643597,-0.8669970703,-8.768016815,-1.340312805,8.912140103,
109.5742847,-0.476459198,-4.473746796,-0.2745291138,4.507415001,
109.5842107,-0.4664300537,-5.221891022,-1.128054199,5.362668097,
109.5941357,-0.3531156921,-9.104666748,-1.766177216,9.281111423,
109.6040617,-0.8072712708,-13.42573105,-1.786834259,13.56815086,
109.6139867,-1.220112762,-13.45701599,-2.308948517,13.70807054,
109.6239127,-0.89394104,-12.98893936,-1.985471191,13.17018497,
109.6338377,-0.9512718201,-12.58747421,-2.086960144,12.79471875,
109.6437637,-1.243015137,-13.07231598,-2.532433777,13.37324764,
109.6536887,-1.313817902,-11.174263,-2.624043274,11.55317594,
109.6636147,-0.4911286926,-9.508227539,-2.872227173,9.944711522,
109.6735397,0.5562432861,-7.764503632,-2.052980804,8.050568515,
109.6834657,1.065484314,-5.379812622,-0.8816665649,5.55472561,
109.6933907,0.2264790344,-4.10236908,-0.02799179077,4.108711277,
