"event","experiment time","system time","system time text"
"START",0.000000000E0,1677091255.902,"2023-02-22 13:40:55.902 UTC-05:00"
"PAUSE",1.173854078E2,1677091373.287,"2023-02-22 13:42:53.287 UTC-05:00"
