"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678395408239000E9,"2023-03-09 15:56:48.239 UTC-05:00"
"PAUSE",1.094971496666549E2,1.678395517736000E9,"2023-03-09 15:58:37.736 UTC-05:00"
