"event","experiment time","system time","system time text"
"START",0.000000000E0,1678410180.665,"2023-03-09 20:03:00.665 UTC-05:00"
"PAUSE",9.710643726E1,1678410277.771,"2023-03-09 20:04:37.771 UTC-05:00"
